name,responsible_for_v,responsible_for_i,receiving_v,receiving_i,prefix_list
Aboriginal Policy Studies,0,0,8,4,10.5663
Aboutscience Srl,0,0,0,3,10.33393
Academia Koreana,0,2,0,0,10.18399
Academia Publishing,0,0,0,75,10.15413
Academic Conferences International Ltd,0,0,0,2,10.34190
Academic Forensic Pathology International,1,0,0,0,10.23907
Academic Journals,4,0,0,123,10.5897
Academic Perspective,1,0,0,0,10.33793
Academic Platform Journal of Engineering and Science,0,52,0,1,10.21541
Academic Publications,0,0,0,55,10.12732
Academic Publishing House Researcher,0,0,0,6,10.13187
Academic Research Publishing Group,0,0,0,1,10.32861
Academic Star Publishing Company,0,0,0,15,10.15341
Academic Studies Press,0,0,1,1,10.26613
Academicus Journal,0,2,0,2,10.7336
Academy Health,0,0,0,10,10.13063
Academy Journal of Educational Sciences,0,14,0,0,10.31805
Academy Publication,3,12,0,3,10.17507
Academy Publisher,3,13,0,52,10.4304
Academy and Industry Research Collaboration Center (AIRCC),0,0,14,80,10.5121
Academy of East Asian Studies,0,2,2,1,10.21866
Academy of Economic Sciences of Ukraine,0,0,0,1,10.37405
Academy of Managed Care Pharmacy,3,0,0,19,10.18553
Academy of Management,25,5,1,174,10.5465
Academy of Medical Optics and Optometry,0,0,0,1,10.33791
"Academy of Medicine, Singapore",6,0,0,0,10.47102
Academy of Natural Sciences of Philadelphia,0,0,0,1,10.1635
Academy of Science of South Africa,0,4,0,26,10.17159
Academy of Sciences and Arts of Bosnia and Herzegovina,0,0,21,10,10.5644
Academy of Social Enterprise,0,2,0,0,10.32675
Academy of Taiwan Information Systems Research,0,0,0,2,10.7903
Academy of Traumatology,0,0,0,1,10.1528
Acarological Society of Japan,0,0,0,1,10.2300
Accademia Italiana di Scienze Forestali,0,0,0,1,10.4129
Acoustical Society of America (ASA),15,155,5,94,10.1121
Acoustical Society of Japan,0,0,0,3,10.1250
Acta Brasiliensis,0,0,0,1,10.22571
Acta Carolus Robertus,0,0,0,1,10.33032
Acta Ecologica Sinica,0,0,5,37,10.5846
Acta Medica Alanya,0,126,0,0,10.30565
Acta Naturae Ltd,0,0,0,1,10.32607
Acta Odontologica Turcica,2,0,0,0,10.17214
"Acta Physica Sinica, Chinese Physical Society and Institute of Physics, Chinese Academy of Sciences",0,0,117,102,10.7498
"Acta Physico-Chimica Sinica & University Chemistry Editorial Office, Peking University",0,0,1,5,10.3866
"Acta Scientiarum Polonorum Agricultura, University of Science and Technology in Bydgoszcz",0,0,0,4,10.37660
Acta Scientific Publications Pvt. Ltd.,0,0,0,2,10.31080
Acta Zoologica Hungarica,0,1,0,0,10.17109
Active Aging Research Center,0,0,0,1,10.17338
Adam Akademi Sosyal Bilimler Dergisi,0,10,0,0,10.31679
Adam Mickiewicz University (Euclid),0,0,10,4,10.7169
Adam Mickiewicz University Poznan,0,0,7,23,10.14746
Addaiyan International Publishers,0,1,0,0,10.36099
"Adenine Press, Inc.",1,0,0,1,10.7785
Adhya Biosciences Pvt. Ltd.,0,0,0,12,10.21746
Adiyaman Universitesi Egitim Bilimleri Dergisi,1,4,0,1,10.17984
Adiyaman Universitesi Saglik Bilimleri Dergisi,0,49,0,0,10.30569
Adiyaman University,0,1,0,0,10.37094
Adiyaman University - Mecuma,0,1,0,0,10.32579
Adiyaman University Journal of Social Sciences,0,20,0,0,10.14520
"Administrative Issues Journal: Education, Practice and Research",0,0,2,3,10.5929
Admiral Makarov State University of Maritime and Inland Shipping,0,0,2,4,10.21821
Adnan Menderes Universitesi Saglik Bilimleri Fakultesi Dergisi,0,1,0,0,10.46237
Adnan Menderes Universitesi Sosyal Bilimler Enstitusu Dergisi,0,1,0,0,10.30803
Adnan Menderes Universitesi Ziraat Fakultesi Dergisi,0,1,0,0,10.25308
Advance Academic Publisher,0,0,0,3,10.23956
Advanced Research Journals,0,0,0,38,10.5138
Advanced Research Publications,0,0,18,0,10.24321
Advances in Forestry Science,0,0,0,1,10.34062
Advances in Hospitality and Tourism Research,0,17,0,0,10.30519
Aequitas Publishing,0,0,0,3,10.4059
Afet ve Risk Dergisi,0,1,0,0,10.35341
African Field Epidemiology Network,0,7,0,0,10.37432
"African Journal of Food, Agriculture, Nutrition and Development",0,0,0,4,10.18697
African Journal of Reproductive Health (AJRH),0,0,0,33,10.29063
African Journals Online (AJOL),0,1,117,428,10.4314
African Traditional Herbal Medicine Supporters Initiative (ATHMSI),0,0,0,17,10.21010
African Zoology,1,0,0,5,10.3377
Afro Eurasian Studies,0,3,0,0,10.33722
Afyon Kocatepe Universitesi Fen Ve Muhendislik Bilimleri Dergisi,0,1,0,0,10.35414
Afyon Kocatepe Universitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi,0,1,0,0,10.33707
Afyon Kocatepe Universitesi Sosyal Bilimler Dergisi,0,13,0,0,10.32709
Afyon Kocatepe University,0,45,0,10,10.18229__10.30831
Agency for Marine and Fisheries Research and Development,0,0,0,4,10.15578
Agenda Wydawnicza SIMP Przeglad Spawalnictwa,0,0,0,3,10.26628
Agentschap Plantentuin Meise,0,0,0,3,10.5091
Agial Publishing House,0,0,0,2,10.11131
Aging and Disease,0,0,0,1,10.14336
Agora University of Oradea,0,0,1,5,10.15837
Agrar- es Kornyezetjog (Journal of Agricultural and Environmental Law),0,0,0,2,10.21029
Agri Ibrahim Cecen Universitesi Sosyal Bilimler Enstitusu Dergisi,0,4,0,0,10.31463
"Agricultural Experiment Station, University of Puerto Rico-Mayaguez",0,0,1,0,10.46429
"Agricultural Faculty, Syiah Kuala University",0,0,0,2,10.17969
Agricultural History Society,0,6,0,1,10.3098
Agricultural Institute of Canada,0,6,0,151,10.4141
Agricultural Research Communication Center,0,0,1,7,10.18805
Agricultural University,0,0,0,3,10.22620
Agriculture and Environmental Science Academy,0,0,0,1,10.26832
"Agrivita, Journal of Agricultural Science (AJAS)",0,0,0,2,10.17503
Agropecuaria Cientifica no Semiarido,0,0,0,8,10.30969
"Ahi Evran Medical Journal, Kirsehir Ahi Evran University",0,1,0,0,10.46332
Ahi Evran Universitesi Sosyal Bilimler Enstitusu Dergisi,0,12,0,0,10.31592
Ailamazyan Program Systems Institute of Russian Academy of Sciences (PSI RAS),0,8,0,2,10.25209
"Airiti Press, Inc.",0,0,0,2,10.5297
Akademi Doktorlar Yayinevi,0,0,0,1,10.4999
Akademiai Kiado Zrt.,12,15,17,31,10.1556
Akademik Gida,1,0,0,0,10.24323
Akademik Sosyal Arastirmalar Dergisi (Asya Studies),0,2,0,0,10.31455
Akademik Ziraat Dergisi,0,1,0,0,10.29278
Akademizdatcenter Nauka,4,0,0,5,10.7868
Akdeniz Kadin Calismalari ve Toplumsal Cinsiyet Dergisi,0,1,0,0,10.33708
Akdeniz Universitesi Iletisim Fakultesi Dergisi,1,26,0,0,10.31123
AkiNik Publications,0,0,0,3,10.22271
Akra Kultur Sanat ve Edebiyat Dergisi,0,1,0,0,10.31126
Akshantala Enterprises Private Limited,17,0,0,10,10.14260
"Al-Furat Journal of Innovations in Electronics and Computer Engineering, ATU",0,0,2,0,10.46649
Al-Jamiah Research Centre,0,0,1,4,10.14421
Al-Khwarizmi Engineering Journal,0,0,0,3,10.22153
Al-Mustansiriyah Journal of Science,0,0,0,1,10.23851
Alanya Akademik Bakis,0,28,0,0,10.29023
Alaska Sea Grant,0,0,0,2,10.4027
Albert Einstein College of Medicine,0,0,0,3,10.3908
Albuquerque: revista de historia,1,0,0,0,10.46401
"Alcohol Research Documentation, Inc.",0,0,94,30,10.15288
Alexander Graham Bell Association for the Deaf and Hard of Hearing,0,0,0,1,10.17955
Alexandrine Press,0,0,0,4,10.2148
Alexandru Ioan Cuza University,0,0,0,8,10.15551
Alfmed LLC,1,0,0,0,10.33667
Alinteri Zirai Bilimler Dergisi,0,1,0,0,10.28955
All Russian Public Organization Russian Scientific Society of Endovascular Diagnostic and Treatment,0,0,0,4,10.24183
All-Russia Petroleum Research Exploration Institute (VNIGRI),0,0,0,1,10.17353
All-Russian National Academy of Mycology,0,0,0,7,10.14427
Allen Press,0,0,0,1101,10.1043
"Allergy, Asthma, and Immunology Association of Thailand",0,0,0,3,10.12932
Allerton Press,15,179,0,6,10.3103
Alliance Against Traffic in Women Foundation,1,0,0,0,10.14197
Alliance for Children and Families,2,15,0,39,10.1606
Alliance of Diamond Open Access Journals,0,0,1,0,10.19086
Alma Ata University Press,0,0,0,1,10.21927
Alphamed Press,0,0,0,28,10.5966
Alphanumeric Journal,0,10,0,0,10.17093
Altai State University,2,2,0,8,10.14258
Altay State Medical University,0,0,0,1,10.31684
Alternatives: Turkish Journal of International Relations,0,0,0,1,10.21599
"Ambit Media, a.s.",0,0,0,5,10.14735
America Latina en la Historia Economica,0,0,0,1,10.18232
American Academy of Audiology,0,0,0,15,10.3766
American Academy of Implant Dentistry,4,3,0,19,10.1563
American Academy of Pediatrics (AAP),10,95,26,1176,10.1542
American Academy of Periodontology (AAP),9,0,0,77,10.1902
American Academy of Psychiatry and the Law,0,0,0,3,10.29158
American Academy of Sleep Medicine (AASM),1,1,0,40,10.5664
American Accounting Association,2,5,2,30,10.2308
"American Alliance for Health, Physical Education, Recreation and Dance",0,0,0,5,10.5641
American Animal Hospital Association,1,0,0,1,10.5326
American Anthropological Association,0,0,0,1,10.14506
American Arachnological Society,0,1,0,4,10.1636
American Association for Agricultural Education,0,0,0,16,10.5032
American Association for Cancer Research (AACR),193,536,3,1265,10.1158
American Association for Clinical Chemistry (AACC),0,0,0,69,10.1373
American Association for the Advancement of Science (AAAS),111,498,609,4164,10.1126__10.34133
American Association of Avian Pathologists (AAAP),1,2,0,12,10.1637
American Association of Petroleum Geologists AAPG/Datapages,0,0,15,112,10.15530__10.1306
American Association of Physicists in Medicine (AAPM),0,0,4,0,10.37206
American Association of Physics Teachers (AAPT),2,16,0,24,10.1119
American Association of Textile Chemists and Colorists (AATCC),0,0,2,1,10.14504
American Association of Zoo Veterinarians,0,0,0,8,10.1638
American Association on Intellectual and Developmental Disabilities (AAIDD),29,188,63,249,10.1352
American Astronomical Society,136,297,364,66,10.3847
American Bilingual University,0,2,0,0,10.46910
American Board of Family Medicine (ABFM),0,0,0,74,10.3122
American Bryological and Lichenological Society,2,1,0,21,10.1639
American Chemical Society (ACS),0,0,30,8385,10.1021__10.26434
American Chinese Medical Exchange Society,0,0,0,50,10.7156
American Cleft Palate Association,5,69,0,45,10.1597
American College of Gastroenterology,6,0,0,1,10.14309
American College of Medical Physics (ACMP),1,0,0,16,10.1120
American College of Physicians,11,13,5,328,10.7326
American Concrete Institute,2,8,1,121,10.14359
American Dairy Science Association,45,0,12,227,10.3168
American Dental Education Association,391,0,0,0,10.21815
American Dental Society of Anesthesiology (ADSA),1,1,0,4,10.2344
American Diabetes Association,31,314,50,764,10.2337
American Economic Association,4,0,6,178,10.1257
American Educational Research Association (AERA),53,377,0,499,10.3102
American Entomological Society,2,0,0,3,10.3157
American Epilepsy Society,0,0,0,5,10.5698
American Fisheries Society,0,0,0,277,10.1577
American Geophysical Union (AGU),115,2309,0,358,10.1029
American Industrial Hygiene Association (AIHA),0,0,0,5,10.3320__10.1202
American Institute of Aeronautics and Astronautics (AIAA),19,554,1,452,10.2514
American Institute of Biological Sciences,0,0,1,169,10.1641
American Institute of Mathematical Sciences (AIMS),7,74,53,66,10.3934
American Journal of Comparative Law,1,0,0,0,10.5131
American Journal of Health Promotion,1,3,0,25,10.4278
American Journal of Pharmaceutical Education,217,21,775,9,10.5688
American Journal of Science (AJS),0,0,0,29,10.2475
American Library Association,0,0,0,40,10.5860
American Marketing Association (AMA),6,141,0,267,10.1509
American Mathematical Society (AMS),0,0,2,123,10.1090
American Meat Science Association,0,1,0,2,10.22175
American Medical Association (AMA),262,61,434,3006,10.1001
American Mental Health Counselors Association,0,0,0,15,10.17744
American Meteorological Society,144,116,0,4231,10.1175
American Museum of Natural History,0,0,0,1,10.5531
American Museum of Natural History (BioOne sponsored),1,0,0,26,10.1206
American Nuclear Society,13,6,0,0,10.13182
American Nurses Association,0,0,0,12,10.3912
American Oriental Society,0,24,0,0,10.7817
American Ornithologists' Union,0,0,0,12,10.1642
American Osteopathic Association,1,1,0,25,10.7556
American Peanut Research and Education Society,0,11,0,4,10.3146
American Pharmacists Association,2,23,0,0,10.21019
American Physical Society (APS),444,572,2,126,10.1103
American Physical Therapy Association (APTA),9,0,0,64,10.2522
American Physiological Society,153,691,11,1504,10.1152__10.ajpheart.00226.201110.1152
American Podiatric Medical Association,12,1,0,12,10.7547
American Psychiatric Association Publishing,1,15,1,1615,10.1176
American Psychological Association (APA),2,35,6,14462,10.1037__10.5084
American Public Health Association,18,10,0,38,10.2105
American Registry of Professional Animal Scientists,1,0,0,5,10.15232
American Research Institute for Policy Development,0,0,0,55,10.15640
American Roentgen Ray Society,4,3,0,33,10.2214
American School Counselor Association,3,16,0,14,10.5330
American School of Classical Studies at Athens (ASCSA),0,149,0,1,10.2972
American Scientific Publishers,1,49,6,199,10.1166
American Shore and Beach Preservation Association,2,0,0,0,10.34237
American Society for Biochemistry & Molecular Biology (ASBMB),71,1794,23,766,10.1074__10.1194
American Society for Cell Biology (ASCB),4,29,0,117,10.1091__10.1187
American Society for Clinical Investigation,20,228,0,96,10.1172
American Society for Clinical Laboratory Science,0,0,0,2,10.29074
American Society for Clinical Pathology (ASCP),9,6,0,15,10.1309
American Society for Engineering Education,6,53,0,13,10.18260
American Society for Enology and Viticulture,0,0,0,3,10.5344
American Society for Horticultural Science,0,0,1,3,10.21273
American Society for Microbiology,178,1180,154,697,10.1128
American Society for Nutrition,8,0,116,487,10.3945
American Society for Pharmacology & Experimental Therapeutics (ASPET),40,179,0,313,10.1124
American Society for Photobiology,0,1,0,44,10.1562
American Society for Photogrammetry and Remote Sensing,2,0,0,10,10.14358
American Society of Agricultural and Biological Engineers (ASABE),0,0,5,52,10.13031
American Society of Agronomy,0,2,0,5,10.3198
American Society of Animal Science (ASAS),5,4,0,448,10.2527
American Society of Civil Engineers (ASCE),55,274,8,468,10.1061
American Society of Clinical Oncology (ASCO),93,1,2262,177,10.1200__10.14694
American Society of Consultant Pharmacists,3,2,0,1,10.4140
American Society of Group Psychotherapy and Psychodrama (ASGPP),0,2,0,0,10.12926
American Society of Hematology,90,1,1110,1052,10.1182
American Society of Ichthyologists and Herpetologists (ASIH),0,1,1,18,10.1643
American Society of International Law,0,4,0,3,10.5305
American Society of Mammalogists (ASM),3,51,0,21,10.1644
American Society of Nephrology (ASN),15,106,0,22,10.1681__10.2215__10.34067
American Society of Neuroradiology (ASNR),5,142,1,1,10.3174
American Society of Parasitologists,0,0,0,29,10.1645
American Society of Plant Biologists (ASPB),1,1,3,1202,10.1104__10.1105
American Society of Plant Taxonomists,0,0,0,8,10.1600
American Society of Tropical Medicine and Hygiene,21,0,10,74,10.4269
American Speech Language Hearing Association,20,3,6,837,10.1044
American Spinal Injury Association,0,4,0,0,10.46292
American Studies Institute,0,1,0,1,10.18078
American Theological Library Association,0,0,0,1,10.31046
American Thoracic Society,12,4,55,1006,10.1164__10.1513
American V-King Scientific Publishing,0,0,0,1,10.14511
American Vacuum Society,12,179,0,48,10.1116
American Veterinary Medical Association (AVMA),4,0,0,48,10.2460
American Water Works Association,1,0,0,5,10.5942
American Welding Society,0,0,3,1,10.29391
"Amity University, Gurgaon",0,0,0,4,10.24942
Ammons Scientific,24,71,0,192,10.2466
Amsterdam University Press,1,8,4,3,10.5117
Ana Dili Egitimi Dergisi ADED,0,27,0,0,10.16916
Anadolu Ege Tarimsal Arastirmalar Enstitusu Dergisi,0,0,0,1,10.18615
Anadolu Journal of Agricultural Sciences,0,96,0,11,10.7161
Anadolu Klinigi Tip Bilimleri Dergisi,1,17,0,0,10.21673
Anadolu Ogretmen Dergisi,0,10,0,0,10.35346
Anadolu Universitesi Bilim ve Teknoloji Dergisi C : Yasam Bilimleri ve Biyoteknoloji,0,58,0,0,10.18036
Anadolu Universitesi Bilim ve Teknoloji Dergisi-A: Uygulamali Bilimler ve Muhendislik,2,60,0,1,10.18038
Anadolu Universitesi Egitim Fakultesi Dergisi,0,2,0,0,10.34056
Anadolu University Journal of Science and Technology – B Theoretical Sciences,0,6,0,0,10.20290
Anatolia: Turizm Arastirmalari Dergisi,0,0,0,1,10.17123
Anatolian Bryology,0,2,0,0,10.26672
Anatolian Current Medical Journal,0,33,0,0,10.38053
Andalas Journal of Public Health,0,0,0,1,10.24893
Andalas University,0,0,0,1,10.22338
Anemon Mus Alparslan Universitesi Sosyal Bilimler Dergisi,1,26,0,1,10.18506
Ani Publishing and Consulting Company,0,0,0,7,10.14689
Animal Behavior and Cognition,0,0,0,2,10.26451
Ankara Universitesi Eczacilik Fakultesi Dergisi,0,6,0,0,10.33483
Ankara Universitesi Egitim Bilimleri Fakultesi Dergisi,0,43,0,0,10.30964
Ankara Universitesi Egitim Bilimleri Fakultesi Ozel Egitim Dergisi,0,51,0,1,10.21565
Ankara Universitesi Siyasal Bilgiler Fakultesi,0,1,0,0,10.33630
Ankara Universitesi ilef Dergisi,1,0,0,0,10.24955
Ankara University,0,0,0,11,10.1501
Ankara University Faculty of Agriculture,1,33,0,0,10.15832
Annals of Family Medicine,0,0,0,46,10.1370
Annals of King Edward Medical University,0,0,0,4,10.21649
Annals of Laboratory Medicine,2,2,0,5,10.3343
Annals of Mathematics,2,16,63,14,10.4007
Annals of Surgical Hepatology,1,0,0,0,10.16931
"Annals of Tropical Medicine, Visayas State University",2,0,0,0,10.32945
"Annex Publishers, LLC",0,0,0,3,10.15744
Annual Reviews,182,4,7,2812,10.1146
Anthropological Researches and Studies,0,0,0,2,10.26758
Anthropological Society of Nippon,0,1,0,4,10.1537
Antibodypedia,0,0,0,1,10.7720
Anticancer Research USA Inc.,0,0,44,14,10.21873
Antiquity Publications,11,2,1,22,10.15184
Antropoloji,0,19,0,0,10.33613
Apertura,0,0,0,1,10.31176
Applied Mathematics and Mechanics,0,0,1,0,10.21656
Applied Probability Trust,0,0,0,9,10.1239
"Applied Science and Analysis (ASA, Inc)",0,0,0,1,10.5044
"Applied Systems, srl",0,0,0,2,10.15190
Applis Publishers,0,0,0,1,10.31700
"Arab Academy for Science, Technology, and Maritime Transport (AASTMT)",0,0,0,2,10.21622
Arachnological Society of Japan,0,0,0,2,10.2476
Arachnologische Gesellschaft e.v.,0,0,0,1,10.5431
Archaeological Institute of America,0,190,0,0,10.3764
Archaeopress Publishing Ltd,1,0,0,0,10.32028
Architectural Institute of Japan,0,10,0,4,10.3130
Archives Medical Review Journal,0,64,0,0,10.17827
Archives of Breast Cancer,0,0,0,1,10.32768
Archives of Clinical and Experimental Medicine,0,4,0,0,10.25000
Archives of Endocrinology and Metabolism,1,0,0,1,10.20945
Archives of Pathology and Laboratory Medicine,3,71,0,7,10.5858
Ardeola,0,0,0,1,10.13157
"Area de Innovacion y Desarrollo, S.L. 3 Ciencias",0,0,0,2,10.17993
Armenian Green Publishing Co.,6,238,4,29,10.29252
Arquivos de Ciências do Mar,0,0,0,4,10.32360
Arquivos em Odontologia,0,0,0,1,10.7308
Art-E Sanat Dergisi,0,6,0,0,10.21602
Arterialnaya Gipertenziya,2,0,0,3,10.18705
Artvin Coruh Universitesi Orman Fakultesi Dergisi,1,9,0,0,10.17474
Artvin Coruh Universitesi Uluslararasi Sosyal Bilimler Dergisi,0,0,0,1,10.22466
Ashdin Publishing,1,7,0,6,10.4303
Asia Minor Studies,1,2,0,0,10.17067
"Asia Pacific Association of Allergy, Asthma, and Clinical Immunology",0,0,0,3,10.5415
Asia-Europe Perspective Association,0,3,0,0,10.31203
Asia-Pacific Applied Economics Association,0,0,111,0,10.46557
Asia-Pacific Research Center,0,0,1,15,10.21196
Asian Australasian Association of Animal Production Societies,1,3,0,15,10.5713
Asian Business Consortium,0,0,0,1,10.15590
Asian Educational Journal Publishing Group,0,0,0,5,10.20448
Asian Electric Vehicle Society,0,0,0,2,10.4130
Asian Institute of Research,0,0,0,1,10.31014
Asian Journal of Chemistry,11,828,0,10,10.14233
Asian Journal of Convergence in Technology,0,0,0,1,10.33130
Asian Journal of Education,0,0,0,105,10.15753
Asian Journal of Peacebuilding,0,0,18,1,10.18588
Asian Network for Public Opinion Research,0,0,1,0,10.15206
Asian Online Journals,0,0,0,4,10.24203
Asian Pacific Journal of Tropical Medicine Press,1,0,0,0,10.12980
Asian Pacific Organization for Cancer Prevention,10,3,0,11,10.7314
Asian Scientific Publishers,0,0,0,2,10.17571
Asian Society of Gynecologic Oncology; Korean Society of Gynecologic Oncology and Colposcopy,1,0,0,10,10.3802
"Asociacion Anestesia Reannimacion Espana, AnestesiaR",0,0,0,1,10.30445
Asociacion Argentina de Ortopedia y Traumatologia,1,0,0,0,10.15417
Asociacion Cientifica ICONO14,0,0,0,2,10.7195
Asociacion Civil Herpetologica Argentina,0,0,0,1,10.31017
Asociacion Colombiana de Cirugia,0,1,0,0,10.30944
Asociacion Colombiana de Facultades de Ingenieriia (ACOFI),0,0,0,5,10.26507
Asociacion Colombiana de Infectologia - ACIN,1,1,0,0,10.22354
Asociacion Colombiana de Medicina Fisica y Rehabilitacion,0,2,0,0,10.28957
Asociacion Colombiana de Medicina Interna,0,0,0,1,10.36104
Asociacion Espanola de Contabilidad y Administracion de Empresas (AECA),0,1,0,0,10.26784
Asociacion Espanola de Ecologia Terrestre (AEET),0,0,0,10,10.7818
Asociacion Espanola de Fitosociologia (AEFA),0,0,0,6,10.5616
Asociacion Espanola de Geografia,0,0,0,4,10.21138
Asociacion Espanola de Perfusionistas,1,0,0,0,10.36579
Asociacion Española de Economia Agraria,0,0,0,6,10.7201
Asociacion INFAD,0,0,0,2,10.17060
"Asociacion Mexicana de Comportamiento y Salud, A.C.",0,0,0,18,10.5460
Asociacion Mexicana de Mastozoologia,0,0,0,2,10.12933
Asociacion Mexicana para el Estudio de los Hongos AC,0,0,0,1,10.33885
Asociacion Paleontologica Argentina,0,0,0,1,10.5710
Asociacion Universitaria de Educacion y Psicologia,0,0,2,0,10.30552
Asociacion de Antropologia Biologica de Argentina,0,0,0,1,10.17139
Asociatia Carpatica de Mediu si Stiintele Pamantului,0,0,2,2,10.26471
Asociatia Cercul de Stiinte Chirurgicale,0,0,0,1,10.33695
Asociatia Pentru Cresterea Vizibilitatii Cercetarii Stiintifice (ACVCS),0,0,0,1,10.11599
Asosiasi Forum Inovasi Bisnis dan Manajemen (INOBIS),0,0,0,1,10.31842
Aspendos International Academy of Medical and Social Sciences. LTD,1,0,0,0,10.36962
Associacao Academica de Propriedade Intelectual,0,0,0,1,10.7198
Associacao Aerospacial Brasileira,0,0,0,1,10.7446
Associacao Brasileira de Criminalistica - ABC,1,0,0,0,10.15260
Associacao Brasileira de Inteligencia Computacional - ABRICOM,0,0,0,1,10.21528
Associacao Brasileira de Odontologia Rio de Janeiro (ABORJ),0,0,0,1,10.18363
Associacao Brasileira de Psicologia,0,8,0,0,10.9788
Associacao Brasileira de Recursos Hidricos - ABRH,0,0,0,1,10.21168
Associacao Instituto Tecnologico Vale,0,0,0,1,10.29223
Associacao Medica de Brasilia,0,0,0,1,10.14242
Associacao Portuguesa de Linguistica,0,0,0,2,10.26334
Associacao Portuguesa de Sistemas de Informacao,0,0,0,1,10.18803
Associacao Portuguesa dos Enfermeiros de Reabilitacao,3,0,0,0,10.33194
Associacao Portuguesa dos Recursos Hidricos (APRH),0,0,0,2,10.5894
Associacao Pro-Ensino Superior em Novo Hamburgo,0,0,0,1,10.25112
Associacao Prudentina de Educacao e Cultura (APEC),0,0,0,1,10.5747
Associacao Sergipana de Ciencia,0,0,1,1,10.14808
Associacio catalana de Salut Laboral,0,0,0,2,10.12961
"Associated Management Consultants,  PVT., Ltd.",0,0,0,1,10.17010
Associated Professional Sleep Societies (APSS),1,0,0,32,10.5665
Association &quot;Professional Analytics of Autopoiesis Systems&quot;,0,0,0,1,10.26140
Association Culturelle Franco-Coreenne,0,1,0,0,10.18022
Association Palaeovertebrata,0,0,0,2,10.18563
Association for Applied Psychophysiology and Biofeedback,0,16,0,8,10.5298
Association for Career and Technical Education Research,0,8,0,4,10.5328
Association for Computational Linguistics (ACL),0,0,3,81,10.3115__10.18653
Association for Computing Machinery (ACM),1333,131143,1610,3933,10.1145
Association for Fire Ecology,0,3,33,11,10.4996
